Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
1932-11-30,7.05,0.5267,0.4267,13.2,3.3716666666667,126.9851875,9.4869642916667,7.6857559583333,8.4633095671229
1932-10-31,7.12,0.5533,0.4433,13.3,3.4025,127.28177744361,9.8911527330827,7.9247207781955,8.4786066076891
1932-09-30,8.26,0.58,0.46,13.4,3.4333333333333,146.5592141791,10.291082835821,8.1618932835821,9.7611685640637
1932-08-31,7.53,0.6067,0.4767,13.5,3.4641666666667,132.61696555556,10.685088048148,8.3955521222222,8.8346532051812
1932-07-31,5.01,0.6333,0.4933,13.6,3.495,87.586404044118,11.071550834559,8.6240265698529,5.8387636718512
1932-06-30,4.77,0.66,0.51,13.6,3.5258333333333,83.390648161765,11.538328676471,8.91598125,5.565059371529
1932-05-31,5.51,0.6867,0.5267,13.7,3.5566666666667,95.624441240876,11.91747800365,9.1407247189781,6.3908572898814
1932-04-30,6.28,0.7133,0.5433,13.9,3.5875,107.4194,12.2009965,9.2931465,7.1922331961155
1932-03-31,8.26,0.74,0.56,14.0,3.6183333333333,140.278105,12.567287857143,9.51038,9.4130650280122
1932-02-29,8.23,0.7667,0.5767,14.1,3.6491666666667,138.7773535461,12.928383592199,9.7245321737589,9.3369322510084
1932-01-31,8.3,0.7933,0.5933,14.3,3.68,138.00026923077,13.189832961538,9.8645252692308,9.3124064551778
1931-12-31,8.44,0.82,0.61,14.6,3.6516666666667,137.44453287671,13.353615753425,9.9337873287671,9.3060328679683
1931-11-30,10.39,0.8333,0.64,14.7,3.6233333333333,168.04906156463,13.477890568027,10.351434013605,11.415600295645
1931-10-31,10.25,0.8467,0.67,14.9,3.595,163.55938758389,13.510803265101,10.691198993289,11.145926407661
1931-09-30,11.83,0.86,0.7,15.0,3.5666666666667,187.51299233333,13.631544666667,11.095443333333,12.817745261107
1931-08-31,13.9,0.8733,0.73,15.1,3.5383333333333,218.86470529801,13.750686844371,11.494333443709,15.006276602887
1931-07-31,14.33,0.8867,0.76,15.1,3.51,225.63534006623,13.961678718543,11.966703311258,15.516750095516
1931-06-30,13.87,0.9,0.79,15.1,3.4816666666667,218.39233543046,14.17109602649,12.439073178808,15.062476074643
1931-05-31,14.33,0.9133,0.82,15.3,3.4533333333333,222.68585849673,14.192532767974,12.742666013072,15.40153999911
1931-04-30,15.86,0.9267,0.85,15.5,3.425,243.28165612903,14.214950235484,13.038424193548,16.87231533161
1931-03-31,17.53,0.94,0.88,15.6,3.3966666666667,267.17461762821,14.326533974359,13.412074358974,18.579561032791
1931-02-28,17.2,0.9533,0.91,15.7,3.3683333333333,260.47537579618,14.436696264331,13.780964649682,18.161492436976
1931-01-31,15.98,0.9667,0.94,15.9,3.34,238.95577421384,14.455478531447,14.056222012579,16.705478731548
1930-12-31,15.51,0.98,0.97,16.1,3.3358333333333,229.0465742236,14.472317391304,14.32464068323,16.055001856531
1930-11-30,16.62,0.9792,1.023,16.4,3.3316666666667,240.94895670732,14.195981853659,14.830973689024,16.939711377775
1930-10-31,17.92,0.9783,1.077,16.5,3.3275,258.22122666667,14.0969769,15.519211,18.214870154659
1930-09-30,20.78,0.9775,1.13,16.6,3.3233333333333,297.62906084337,14.000597063253,16.184833433735,21.072581788447
1930-08-31,20.79,0.9767,1.183,16.5,3.3191666666667,299.57697,14.073921433333,17.046635666667,21.300602241118
1930-07-31,21.06,0.9758,1.237,16.6,3.315,301.63946204819,13.976248198795,17.717379608434,21.548797592547
1930-06-30,21.52,0.975,1.29,16.8,3.3108333333333,304.55859761905,13.798542410714,18.256533035714,21.866899333389
1930-05-31,23.94,0.9742,1.343,16.9,3.3066666666667,336.80251065089,13.705639343195,18.894142514793,24.309760633908
1930-04-30,25.46,0.9733,1.397,17.0,3.3025,356.07981588235,13.612430667647,19.538236558824,25.843436862018
1930-03-31,23.94,0.9725,1.45,16.9,3.2983333333333,336.80251065089,13.681722707101,20.399483727811,24.586607792669
1930-02-28,23.07,0.9717,1.503,17.0,3.2941666666667,322.65362735294,13.590053302941,21.020736970588,23.697117749336
1930-01-31,21.71,0.9708,1.557,17.1,3.29,301.85723654971,13.498065649123,21.648628157895,22.310724294337
1929-12-31,21.4,0.97,1.61,17.2,3.3158333333333,295.81705232558,13.40852994186,22.25539505814,22.007373176418
